date,equity,cash,open_positions
2025-02-25,50000.0,50000.0,0
2025-02-26,50000.0,50000.0,0
2025-02-27,50000.0,50000.0,0
2025-02-28,50000.0,50000.0,0
2025-03-03,50000.0,50000.0,0
2025-03-04,50000.0,50000.0,0
2025-03-05,50000.0,50000.0,0
2025-03-06,50000.0,50000.0,0
2025-03-07,50000.0,50000.0,0
2025-03-10,50000.0,49727.68,1
2025-03-11,50000.0,49727.68,1
2025-03-12,50000.0,49727.68,1
2025-03-13,50000.0,49727.68,1
2025-03-14,50000.0,49727.68,1
2025-03-17,50000.0,49727.68,1
2025-03-18,50000.0,49727.68,1
2025-03-19,50000.0,49727.68,1
2025-03-20,50000.0,49727.68,1
2025-03-21,50122.56,50122.56,0
2025-03-25,50122.56,50122.56,0
2025-03-26,50122.56,50122.56,0
2025-03-27,50122.56,50122.56,0
2025-03-28,50122.56,50122.56,0
2025-03-31,50122.56,50122.56,0
2025-04-01,50122.56,50122.56,0
2025-04-02,50122.56,50122.56,0
2025-04-03,50122.56,50122.56,0
2025-04-04,50122.56,50122.56,0
2025-04-08,50122.56,50122.56,0
2025-04-09,50122.56,50122.56,0
2025-04-10,50122.56,50122.56,0
2025-04-11,50122.56,50122.56,0
2025-04-14,50122.56,50122.56,0
2025-04-15,50122.56,50122.56,0
2025-04-16,50122.56,50122.56,0
2025-04-17,50122.56,50122.56,0
2025-04-21,50122.56,50122.56,0
2025-04-22,50122.56,49867.189999999995,1
2025-04-23,50122.56,49867.189999999995,1
2025-04-24,50122.56,49867.189999999995,1
2025-04-25,50122.56,49867.189999999995,1
2025-04-28,50122.56,49867.189999999995,1
2025-04-29,50122.56,49867.189999999995,1
2025-04-30,50122.56,49867.189999999995,1
2025-05-01,50122.56,49867.189999999995,1
2025-05-02,50122.56,49867.189999999995,1
2025-05-05,50122.56,49867.189999999995,1
2025-05-06,50122.56,49567.979999999996,2
2025-05-07,50122.56,49567.979999999996,2
2025-05-08,50122.56,49567.979999999996,2
2025-05-09,50122.56,49567.979999999996,2
2025-05-12,50122.56,49567.979999999996,2
2025-05-13,50122.56,49567.979999999996,2
2025-05-14,50122.56,49567.979999999996,2
2025-05-15,50122.56,49567.979999999996,2
2025-05-16,50122.56,49567.979999999996,2
2025-05-19,49875.119999999995,49575.909999999996,1
2025-05-21,49875.119999999995,49575.909999999996,1
2025-05-22,49875.119999999995,49575.909999999996,1
2025-05-23,49875.119999999995,49575.909999999996,1
2025-05-27,49875.119999999995,49575.909999999996,1
