date,equity,cash,open_positions
2025-03-24,50000.0,50000.0,0
2025-03-25,50000.0,49546.12,1
2025-03-26,50000.0,49546.12,1
2025-03-27,50000.0,49546.12,1
2025-03-28,49898.69,49898.69,0
2025-03-31,49898.69,49898.69,0
2025-04-01,49898.69,49898.69,0
2025-04-02,49898.69,49898.69,0
2025-04-03,49898.69,49898.69,0
2025-04-04,49898.69,49898.69,0
2025-04-07,49898.69,49898.69,0
2025-04-08,49898.69,49898.69,0
2025-04-09,49898.69,49898.69,0
2025-04-10,49898.69,49898.69,0
2025-04-11,49898.69,49898.69,0
2025-04-14,49898.69,49115.05,1
2025-04-15,49898.69,49115.05,1
2025-04-16,49898.69,49115.05,1
2025-04-17,49898.69,49115.05,1
2025-04-21,49898.69,49115.05,1
2025-04-22,49898.69,49115.05,1
2025-04-23,49898.69,49115.05,1
2025-04-24,49898.69,49115.05,1
2025-04-25,50031.26,50031.26,0
2025-04-28,50031.26,50031.26,0
2025-04-29,50031.26,50031.26,0
2025-04-30,50031.26,50031.26,0
2025-05-01,50031.26,50031.26,0
2025-05-02,50031.26,50031.26,0
2025-05-05,50031.26,50031.26,0
2025-05-06,50031.26,50031.26,0
2025-05-07,50031.26,50031.26,0
2025-05-08,50031.26,50031.26,0
2025-05-09,50031.26,50031.26,0
2025-05-12,50031.26,50031.26,0
2025-05-13,50031.26,50031.26,0
2025-05-14,50031.26,49589.32,1
2025-05-15,50031.26,49589.32,1
2025-05-16,50031.26,49589.32,1
2025-05-19,50031.26,49589.32,1
2025-05-20,50031.26,49589.32,1
2025-05-21,50031.26,49589.32,1
2025-05-22,50031.26,49589.32,1
2025-05-23,50031.26,49589.32,1
2025-05-27,50060.84,50060.84,0
2025-05-28,50060.84,50060.84,0
2025-05-29,50060.84,50060.84,0
2025-05-30,50060.84,50060.84,0
2025-06-02,50060.84,50060.84,0
2025-06-03,50060.84,50060.84,0
2025-06-04,50060.84,49610.049999999996,1
2025-06-05,50060.84,49610.049999999996,1
2025-06-06,50060.84,49610.049999999996,1
2025-06-09,50060.84,49610.049999999996,1
2025-06-10,50088.259999999995,50088.259999999995,0
2025-06-11,50088.259999999995,50088.259999999995,0
2025-06-12,50088.259999999995,50088.259999999995,0
2025-06-13,50088.259999999995,49657.92999999999,1
2025-06-16,50088.259999999995,49657.92999999999,1
2025-06-17,50088.259999999995,49657.92999999999,1
2025-06-18,50088.259999999995,49657.92999999999,1
2025-06-20,50088.259999999995,49657.92999999999,1
2025-06-23,50123.80999999999,50123.80999999999,0
2025-06-24,50123.80999999999,50123.80999999999,0
2025-06-25,50123.80999999999,49667.27999999999,1
2025-06-26,50123.80999999999,49667.27999999999,1
2025-06-27,50123.80999999999,49667.27999999999,1
2025-06-30,50150.26999999999,50150.26999999999,0
2025-07-01,50150.26999999999,50150.26999999999,0
2025-07-02,50150.26999999999,50150.26999999999,0
2025-07-03,50150.26999999999,50150.26999999999,0
2025-07-07,50150.26999999999,49701.63999999999,1
2025-07-08,50150.26999999999,49701.63999999999,1
2025-07-09,50150.26999999999,49701.63999999999,1
2025-07-10,50177.78999999999,50177.78999999999,0
2025-07-11,50177.78999999999,50177.78999999999,0
2025-07-14,50177.78999999999,50177.78999999999,0
2025-07-15,50177.78999999999,50177.78999999999,0
2025-07-16,50177.78999999999,49724.17999999999,1
2025-07-17,50177.78999999999,49724.17999999999,1
2025-07-18,50177.78999999999,49724.17999999999,1
2025-07-21,50177.78999999999,49724.17999999999,1
2025-07-22,50177.78999999999,49724.17999999999,1
2025-07-23,50213.10999999999,50213.10999999999,0
2025-07-24,50213.10999999999,50213.10999999999,0
2025-07-25,50213.10999999999,50213.10999999999,0
2025-07-28,50213.10999999999,50213.10999999999,0
2025-07-29,50213.10999999999,50213.10999999999,0
2025-07-30,50213.10999999999,50213.10999999999,0
2025-07-31,50213.10999999999,50213.10999999999,0
2025-08-01,50213.10999999999,50213.10999999999,0
2025-08-04,50213.10999999999,50213.10999999999,0
2025-08-05,50213.10999999999,49765.469999999994,1
2025-08-06,50213.10999999999,49765.469999999994,1
2025-08-07,50213.10999999999,49765.469999999994,1
2025-08-08,50250.13,50250.13,0
2025-08-11,50250.13,50250.13,0
2025-08-12,50250.13,50250.13,0
2025-08-13,50250.13,50250.13,0
2025-08-14,50250.13,50250.13,0
2025-08-15,50250.13,50250.13,0
2025-08-18,50250.13,50250.13,0
2025-08-19,50250.13,50250.13,0
2025-08-20,50250.13,50250.13,0
2025-08-21,50250.13,50250.13,0
2025-08-22,50250.13,50250.13,0
2025-08-25,50250.13,50250.13,0
2025-08-26,50250.13,50250.13,0
2025-08-27,50250.13,50250.13,0
2025-08-28,50250.13,50250.13,0
2025-08-29,50250.13,50250.13,0
2025-09-02,50250.13,50250.13,0
2025-09-03,50250.13,50250.13,0
2025-09-04,50250.13,49786.149999999994,1
2025-09-05,50250.13,49786.149999999994,1
2025-09-08,50250.13,49786.149999999994,1
2025-09-09,50250.13,49786.149999999994,1
2025-09-10,50250.13,49786.149999999994,1
2025-09-11,50274.74999999999,50274.74999999999,0
2025-09-12,50274.74999999999,50274.74999999999,0
2025-09-15,50274.74999999999,49813.45999999999,1
2025-09-16,50274.74999999999,49813.45999999999,1
2025-09-17,50274.74999999999,49813.45999999999,1
2025-09-18,50274.74999999999,49813.45999999999,1
2025-09-19,50274.74999999999,49813.45999999999,1
2025-09-22,50295.23999999999,50295.23999999999,0
2025-09-23,50295.23999999999,50295.23999999999,0
2025-09-24,50295.23999999999,49837.55999999999,1
2025-09-25,50295.23999999999,49837.55999999999,1
2025-09-26,50295.23999999999,49837.55999999999,1
2025-09-29,50295.23999999999,49837.55999999999,1
2025-09-30,50295.23999999999,49837.55999999999,1
2025-10-01,50317.68999999999,50317.68999999999,0
2025-10-02,50317.68999999999,50317.68999999999,0
2025-10-03,50317.68999999999,49861.73999999999,1
2025-10-06,50317.68999999999,49861.73999999999,1
2025-10-07,50317.68999999999,49861.73999999999,1
2025-10-08,50317.68999999999,49861.73999999999,1
2025-10-09,50317.68999999999,49861.73999999999,1
2025-10-10,50245.62999999999,50245.62999999999,0
2025-10-13,50245.62999999999,50245.62999999999,0
2025-10-14,50245.62999999999,49818.03999999999,1
2025-10-15,50245.62999999999,49818.03999999999,1
2025-10-16,50245.62999999999,49818.03999999999,1
2025-10-17,50245.62999999999,49818.03999999999,1
2025-10-20,50290.009999999995,50290.009999999995,0
2025-10-21,50290.009999999995,50290.009999999995,0
2025-10-22,50290.009999999995,50290.009999999995,0
2025-10-23,50290.009999999995,49840.009999999995,1
2025-10-24,50290.009999999995,49840.009999999995,1
2025-10-27,50326.219999999994,50326.219999999994,0
2025-10-28,50326.219999999994,50326.219999999994,0
2025-10-29,50326.219999999994,50326.219999999994,0
2025-10-30,50326.219999999994,50326.219999999994,0
2025-10-31,50326.219999999994,50326.219999999994,0
2025-11-03,50326.219999999994,49873.28999999999,1
2025-11-04,50326.219999999994,49873.28999999999,1
2025-11-05,50326.219999999994,49873.28999999999,1
2025-11-06,50276.88999999999,50276.88999999999,0
2025-11-07,50276.88999999999,50276.88999999999,0
2025-11-10,50276.88999999999,50276.88999999999,0
2025-11-11,50276.88999999999,50276.88999999999,0
2025-11-12,50276.88999999999,49826.12999999999,1
2025-11-13,50276.88999999999,49826.12999999999,1
2025-11-14,50276.88999999999,49826.12999999999,1
2025-11-17,50199.26999999999,50199.26999999999,0
