date,equity,cash,open_positions
2025-03-24,50000.0,50000.0,0
2025-03-25,50000.0,48184.48,1
2025-03-26,49886.48,49886.48,0
2025-03-27,49886.48,49886.48,0
2025-03-28,49886.48,49886.48,0
2025-03-31,49886.48,49886.48,0
2025-04-01,49886.48,49886.48,0
2025-04-02,49886.48,49886.48,0
2025-04-03,49886.48,49886.48,0
2025-04-04,49886.48,49886.48,0
2025-04-07,49886.48,49886.48,0
2025-04-08,49886.48,49886.48,0
2025-04-09,49886.48,49886.48,0
2025-04-10,49886.48,49886.48,0
2025-04-11,49886.48,49886.48,0
2025-04-14,49886.48,46751.920000000006,1
2025-04-15,49886.48,46751.920000000006,1
2025-04-16,49572.12,49572.12,0
2025-04-17,49572.12,49572.12,0
2025-04-21,49572.12,49572.12,0
2025-04-22,49572.12,49572.12,0
2025-04-23,49572.12,49572.12,0
2025-04-24,49572.12,49572.12,0
2025-04-25,49572.12,49572.12,0
2025-04-28,49572.12,49572.12,0
2025-04-29,49572.12,49572.12,0
2025-04-30,49572.12,49572.12,0
2025-05-01,49572.12,49572.12,0
2025-05-02,49572.12,49572.12,0
2025-05-05,49572.12,49572.12,0
2025-05-06,49572.12,49572.12,0
2025-05-07,49572.12,49572.12,0
2025-05-08,49572.12,49572.12,0
2025-05-09,49572.12,49572.12,0
2025-05-12,49572.12,49572.12,0
2025-05-13,49572.12,49572.12,0
2025-05-14,49572.12,47804.36,1
2025-05-15,49586.36,47818.6,1
2025-05-16,49586.36,47818.6,1
2025-05-19,49586.36,47818.6,1
2025-05-20,49611.96,47844.2,1
2025-05-21,49611.96,47844.2,1
2025-05-22,49611.96,47844.2,1
2025-05-23,49611.96,47844.2,1
2025-05-27,49611.96,47844.2,1
2025-05-28,49611.96,47844.2,1
2025-05-29,49611.96,47844.2,1
2025-05-30,49611.96,47844.2,1
2025-06-02,49611.96,47844.2,1
2025-06-03,49611.96,47844.2,1
2025-06-04,49611.95999999999,46041.03999999999,2
2025-06-05,49561.92,47794.159999999996,1
2025-06-06,49561.92,47794.159999999996,1
2025-06-09,49561.92,47794.159999999996,1
2025-06-10,49561.92,47794.159999999996,1
2025-06-11,49561.92,47794.159999999996,1
2025-06-12,49561.92,47794.159999999996,1
2025-06-13,49561.92,46072.84,2
2025-06-16,49591.31,46102.229999999996,2
2025-06-17,49594.869999999995,46105.78999999999,2
2025-06-18,49710.98999999999,47989.66999999999,1
2025-06-20,49710.98999999999,47989.66999999999,1
2025-06-23,49710.98999999999,47989.66999999999,1
2025-06-24,49710.98999999999,47989.66999999999,1
2025-06-25,49710.98999999999,46163.54999999999,2
2025-06-26,49723.90999999999,46176.46999999999,2
2025-06-27,49723.90999999999,46176.46999999999,2
2025-06-30,49723.90999999999,46176.46999999999,2
2025-07-01,49723.90999999999,46176.46999999999,2
2025-07-02,49723.90999999999,46176.46999999999,2
2025-07-03,49760.90999999999,46213.46999999999,2
2025-07-07,49760.90999999999,44418.94999999999,3
2025-07-08,49767.98999999999,44426.02999999999,3
2025-07-09,49790.19999999999,44448.23999999999,3
2025-07-10,49790.19999999999,44448.23999999999,3
2025-07-11,49790.19999999999,44448.23999999999,3
2025-07-14,49790.19999999999,44448.23999999999,3
2025-07-15,49790.19999999999,44448.23999999999,3
2025-07-16,49790.19999999999,42633.79999999999,4
2025-07-17,49804.17999999999,42647.77999999999,4
2025-07-18,49943.52,44508.439999999995,3
2025-07-21,49943.52,44508.439999999995,3
2025-07-22,49943.52,44508.439999999995,3
2025-07-23,49943.52,44508.439999999995,3
2025-07-24,49943.52,44508.439999999995,3
2025-07-25,49983.92,44548.84,3
2025-07-28,49983.92,44548.84,3
2025-07-29,49983.92,44548.84,3
2025-07-30,50070.85999999999,46461.899999999994,2
2025-07-31,50070.85999999999,46461.899999999994,2
2025-08-01,50070.85999999999,46461.899999999994,2
2025-08-04,50070.85999999999,46461.899999999994,2
2025-08-05,50070.86,44671.34,3
2025-08-06,50090.14,44690.619999999995,3
2025-08-07,50090.14,44690.619999999995,3
2025-08-08,50090.14,44690.619999999995,3
2025-08-11,50226.43,46621.43,2
2025-08-12,50226.43,46621.43,2
2025-08-13,50226.43,46621.43,2
2025-08-14,50226.43,46621.43,2
2025-08-15,50226.43,46621.43,2
2025-08-18,50226.43,46621.43,2
2025-08-19,50226.43,46621.43,2
2025-08-20,50319.21,48528.65,1
2025-08-21,50319.21,48528.65,1
2025-08-22,50319.21,48528.65,1
2025-08-25,50319.21,48528.65,1
2025-08-26,50319.21,48528.65,1
2025-08-27,50319.21,48528.65,1
2025-08-28,50319.21,48528.65,1
2025-08-29,50319.21,48528.65,1
2025-09-02,50319.21,48528.65,1
2025-09-03,50319.21,48528.65,1
2025-09-04,50319.21000000001,46672.73,2
2025-09-05,50319.21000000001,46672.73,2
2025-09-08,50325.04000000001,46678.560000000005,2
2025-09-09,50429.76,48573.840000000004,1
2025-09-10,50429.76,48573.840000000004,1
2025-09-11,50429.76,48573.840000000004,1
2025-09-12,50429.76,48573.840000000004,1
2025-09-15,50429.76000000001,46728.68000000001,2
2025-09-16,50455.780000000006,46754.700000000004,2
2025-09-17,50455.780000000006,46754.700000000004,2
2025-09-18,50462.58000000001,46761.50000000001,2
2025-09-19,50462.58000000001,46761.50000000001,2
2025-09-22,50462.58000000001,46761.50000000001,2
2025-09-23,50476.20000000001,46775.12000000001,2
2025-09-24,50476.20000000001,44944.40000000001,3
2025-09-25,50435.72000000001,46734.64000000001,2
2025-09-26,50435.72000000001,46734.64000000001,2
2025-09-29,50435.72000000001,46734.64000000001,2
2025-09-30,50435.72000000001,46734.64000000001,2
2025-10-01,50435.72000000001,46734.64000000001,2
2025-10-02,50435.72000000001,46734.64000000001,2
2025-10-03,50435.72,44910.840000000004,3
2025-10-06,50446.78,44921.9,3
2025-10-07,50448.57,44923.69,3
2025-10-08,50448.57,44923.69,3
2025-10-09,50520.61,46851.65,2
2025-10-10,50520.61,46851.65,2
2025-10-13,50520.61,46851.65,2
2025-10-14,50520.61,45141.29,3
2025-10-15,50530.74,45151.42,3
2025-10-16,50478.32,46809.36,2
2025-10-17,50478.32,46809.36,2
2025-10-20,50555.740000000005,48731.94,1
2025-10-21,50555.740000000005,48731.94,1
2025-10-22,50555.740000000005,48731.94,1
2025-10-23,50555.740000000005,46931.94,2
2025-10-24,50574.670000000006,46950.87,2
2025-10-27,50574.670000000006,46950.87,2
2025-10-28,50574.670000000006,46950.87,2
2025-10-29,50610.590000000004,46986.79,2
2025-10-30,50610.590000000004,46986.79,2
2025-10-31,50610.590000000004,46986.79,2
2025-11-03,50610.59,45175.07,3
2025-11-04,50478.91,46855.11,2
2025-11-05,50478.91,46855.11,2
2025-11-06,50478.91,46855.11,2
2025-11-07,50567.01,48767.01,1
2025-11-10,50567.01,48767.01,1
2025-11-11,50567.01,48767.01,1
2025-11-12,50567.01,46963.97,2
2025-11-13,50376.69,48576.69,1
2025-11-14,50376.69,48576.69,1
2025-11-17,50376.69,48576.69,1
2025-11-18,50376.69,48576.69,1
2025-11-19,50376.69,48576.69,1
2025-11-20,50376.69,48576.69,1
2025-11-21,50376.69,45183.450000000004,2
2025-11-24,50450.03,45256.79,2
2025-11-25,50450.03,45256.79,2
2025-11-26,50579.119999999995,45385.88,2
2025-11-28,50679.119999999995,47285.88,1
2025-12-01,50679.119999999995,47285.88,1
2025-12-02,50679.119999999995,47285.88,1
2025-12-03,50679.12,45449.64,2
2025-12-04,50683.530000000006,45454.05,2
2025-12-05,50694.19000000001,45464.71000000001,2
2025-12-08,50694.19000000001,45464.71000000001,2
2025-12-09,50694.19000000001,45464.71000000001,2
2025-12-10,50694.19000000001,45464.71000000001,2
2025-12-11,50694.19000000001,45464.71000000001,2
2025-12-12,50694.19000000001,43619.19000000001,3
2025-12-15,50694.19000000001,43619.19000000001,3
