date,equity,cash,open_positions
2025-02-24,50000.0,50000.0,0
2025-02-25,50000.0,50000.0,0
2025-02-26,50000.0,50000.0,0
2025-02-27,50000.0,50000.0,0
2025-02-28,50000.0,50000.0,0
2025-03-03,50000.0,50000.0,0
2025-03-04,50000.0,50000.0,0
2025-03-05,50000.0,50000.0,0
2025-03-06,50000.0,50000.0,0
2025-03-07,50000.0,50000.0,0
2025-03-10,50000.0,50000.0,0
2025-03-11,50000.0,50000.0,0
2025-03-12,50000.0,50000.0,0
2025-03-13,50000.0,50000.0,0
2025-03-14,50000.0,50000.0,0
2025-03-17,50000.0,50000.0,0
2025-03-18,50000.0,50000.0,0
2025-03-19,50000.0,50000.0,0
2025-03-20,50000.0,50000.0,0
2025-03-21,50000.0,50000.0,0
2025-03-24,50000.0,50000.0,0
2025-03-25,50000.0,50000.0,0
2025-03-26,50000.0,50000.0,0
2025-03-27,50000.0,50000.0,0
2025-03-28,50000.0,50000.0,0
2025-03-31,50000.0,50000.0,0
2025-04-01,50000.0,50000.0,0
2025-04-02,50000.0,50000.0,0
2025-04-03,50000.0,800.0,1
2025-04-04,48275.05,48275.05,0
2025-04-07,48275.05,48275.05,0
2025-04-08,48275.05,48275.05,0
2025-04-09,48275.05,48275.05,0
2025-04-10,48275.05,48275.05,0
2025-04-11,48275.05,48275.05,0
2025-04-14,48275.05,48275.05,0
2025-04-15,48275.05,48275.05,0
2025-04-16,48275.05,48275.05,0
2025-04-17,48275.05,48275.05,0
2025-04-21,48275.05,48275.05,0
2025-04-22,48275.05,48275.05,0
2025-04-23,48275.05,48275.05,0
2025-04-24,48275.05,48275.05,0
2025-04-25,48275.05,48275.05,0
2025-04-28,48275.05,48275.05,0
2025-04-29,48275.05,48275.05,0
2025-04-30,48275.05,48275.05,0
2025-05-01,48275.05,48275.05,0
2025-05-02,48275.05,48275.05,0
2025-05-05,48275.05,48275.05,0
2025-05-06,48275.05,48275.05,0
2025-05-07,48275.05,48275.05,0
2025-05-08,48275.05,48275.05,0
2025-05-09,48275.05,48275.05,0
2025-05-12,48275.05,48275.05,0
2025-05-13,48275.05,48275.05,0
2025-05-14,48275.05,48275.05,0
2025-05-15,48275.05,48275.05,0
2025-05-16,48275.05,48275.05,0
2025-05-19,48275.05,48275.05,0
2025-05-20,48275.05,48275.05,0
2025-05-21,48275.05,48275.05,0
2025-05-22,48275.05,48275.05,0
2025-05-23,48275.05,48275.05,0
2025-05-27,48275.05,48275.05,0
2025-05-28,48275.05,48275.05,0
2025-05-29,48275.05,48275.05,0
2025-05-30,48275.05,48275.05,0
2025-06-02,48275.05,48275.05,0
2025-06-03,48275.05,48275.05,0
2025-06-04,48275.05,48275.05,0
2025-06-05,48275.05,48275.05,0
2025-06-06,48275.05,48275.05,0
2025-06-09,48275.05,48275.05,0
2025-06-10,48275.05,48275.05,0
2025-06-11,48275.05,48275.05,0
2025-06-12,48275.05,48275.05,0
2025-06-13,48275.05,48275.05,0
2025-06-16,48275.05,48275.05,0
2025-06-17,48275.05,48275.05,0
2025-06-18,48275.05,48275.05,0
2025-06-20,48275.05,48275.05,0
2025-06-23,48275.05,48275.05,0
2025-06-24,48275.05,48275.05,0
2025-06-25,48275.05,48275.05,0
2025-06-26,48275.05,48275.05,0
2025-06-27,48275.05,48275.05,0
2025-06-30,48275.05,48275.05,0
2025-07-01,48275.05,48275.05,0
2025-07-02,48275.05,48275.05,0
2025-07-03,48275.05,48275.05,0
2025-07-07,48275.05,48275.05,0
2025-07-08,48275.05,48275.05,0
2025-07-09,48275.05,48275.05,0
2025-07-10,48275.05,48275.05,0
2025-07-11,48275.05,48275.05,0
2025-07-14,48275.05,48275.05,0
2025-07-15,48275.05,48275.05,0
2025-07-16,48275.05,48275.05,0
2025-07-17,48275.05,48275.05,0
2025-07-18,48275.05,48275.05,0
2025-07-21,48275.05,48275.05,0
2025-07-22,48275.05,48275.05,0
2025-07-23,48275.05,48275.05,0
2025-07-24,48275.05,48275.05,0
2025-07-25,48275.05,48275.05,0
2025-07-28,48275.05,48275.05,0
2025-07-29,48275.05,48275.05,0
2025-07-30,48275.05,48275.05,0
2025-07-31,48275.05,48275.05,0
2025-08-01,48275.05,48275.05,0
2025-08-04,48275.05,48275.05,0
2025-08-05,48275.05,48275.05,0
2025-08-06,48275.05,48275.05,0
2025-08-07,48275.05,48275.05,0
2025-08-08,48275.05,48275.05,0
2025-08-11,48275.05,48275.05,0
2025-08-12,48275.05,48275.05,0
2025-08-13,48275.05,48275.05,0
2025-08-14,48275.05,48275.05,0
